number,author,title,university,status,date,industry,url,recording
21,T. Salminen,Contract review with large language models,Aalto,completed,Apr. 2025,,https://aaltodoc.aalto.fi/items/8fb83fe1-f44e-4837-9797-0d7e10dcad7e,https://youtu.be/oAqD7wBkXGk
22,E. Kohvakka,"The role of analyst sentiment in excess return forecasting, and its implications for investors",Aalto,completed,Apr. 2025,,https://urn.fi/URN:NBN:fi:aalto-202506174917,
23,A. Sarkima,Graph-based anomaly detection: Evaluating Logs2Graphs with non-benchmark logs,Aalto,completed,Mar. 2025,,https://urn.fi/URN:NBN:fi:aalto-202505203903,
24,J. Naveed,Optimized code generation in BIM with retrieval-augmented LLMs,Aalto,completed,Feb. 2025,,https://urn.fi/URN:NBN:fi:aalto-202505203933,
25,P. Wiwatphonthana,Machine Learning Assisted Dynamic Scheduling for Energy Efficient Serverless Cloud Workloads,Aalto,completed,Jan. 2025,Ericsson Oy,https://urn.fi/URN:NBN:fi:aalto-202501282068,
26,Q. Luong,Proof of Concept for FedRelax on Kubernetes: An Implementation Guide,Aalto,completed,Jan. 2025,,https://urn.fi/URN:NBN:fi:aalto-202501282110,
27,P. Dang,Model-Agnostic Personalized Federated Learning using Adaptive Client Selection,Aalto,completed,Jan. 2025,,https://urn.fi/URN:NBN:fi:aalto-202501302237,https://youtu.be/JiAhFSQ-8yY
28,L. Loukamo,The effect of language on perceived ability to understand machine learning concepts,Aalto,completed,Dec. 2024,,https://urn.fi/URN:NBN:fi:aalto-202502072365,
29,I. Tarpila,Training Machine Learning Models for E-sports Spatiotemporal TimeSeries Forecasting,Aalto,completed,Nov. 2024,,https://urn.fi/URN:NBN:fi:aalto-202412177981,
30,I. Lahtinen,Binary classification of invoice documents based on value added tax,Aalto,completed,Nov. 2024,KPMG Oy Ab,https://urn.fi/URN:NBN:fi:aalto-202412178013,
31,R. Kausiala,Forecasting Retail Investor Fund Flow Using Machine Learning,Aalto,completed,Nov. 2024,,https://urn.fi/URN:NBN:fi:aalto-202412177992,https://youtu.be/OX-Ftkk_K8Q
32,V. Toivonen,Determining User Preference Profiles from Email And User Engagement Data,Aalto,completed,Oct. 2024,Vibemetrics Oy,https://urn.fi/URN:NBN:fi:aalto-202412178014,https://youtu.be/lUGZz_SHttY
33,M. Hilvo,The effect of privacy enhancing technologies on the quality of predictive models in healthcare,Aalto,completed,Oct. 2024,VTT,https://urn.fi/URN:NBN:fi:aalto-202411217279,
34,A. Bhat,Classifying Scam E-Commerce Shops with Supervised Learning,Aalto,completed,Oct. 2024,F-Secure,https://urn.fi/URN:NBN:fi:aalto-202411207210,
35,A. Rodimov,Security system based on object tracking by video stream,Aalto,completed,Aug. 2024,,https://urn.fi/URN:NBN:fi:aalto-202408265859,https://youtu.be/E-n7yLNdv58
36,A. Shuianova,Kinship verification between two people by photos,Aalto,completed,Aug. 2024,,https://urn.fi/URN:NBN:fi:aalto-202408265860,
37,J. Rantanen,Large Language Models in Mental Health Support,Aalto,completed,July 2024,,https://urn.fi/URN:NBN:fi:aalto-202408255774,https://youtu.be/c5Z6CwWmr6w
38,R. Mård,Backdoor attacks on large transformer-based regression model,Aalto,completed,July 2024,,https://urn.fi/URN:NBN:fi:aalto-202408255769,https://youtu.be/K2HcwgvErZw
39,A. Ghazal,Zero-shot Machine Unlearning using GANs,Aalto,completed,July 2024,Nokia,https://urn.fi/URN:NBN:fi:aalto-202406305007,
40,K. Nguyen,Image Similarity Assessment for Product Quality Assurance,Aalto,completed,July 2024,,https://urn.fi/URN:NBN:fi:aalto-202408255659,
41,D. Suman,Deep Learning Methods for Demand Time Series Forecasting,Aalto,completed,June 2024,Zalando,https://urn.fi/URN:NBN:fi:aalto-202406234851,
42,A. Manninen,Spatiotemporal Traffic Accident Prediction Using Deep Learning Models,Aalto,completed,May 2024,,https://urn.fi/URN:NBN:fi:aalto-202406234904,https://youtu.be/saahi0X6Di4
43,S. Hirvonen,Comparison of data-driven models for building energy load forecasting,Aalto,completed,May 2024,VTT,https://urn.fi/URN:NBN:fi:aalto-202405263697,
44,L. Ban,Neural Motif Counting in Uncertain Graphs,Aalto,completed,May 2024,,https://urn.fi/URN:NBN:fi:aalto-202405263699,
45,R. Virtanen,Explainable AI Techniques in Trustworthy Object Detection,Aalto,completed,May 2024,TietoEVRY Oyj,https://urn.fi/URN:NBN:fi:aalto-202405263770,https://youtu.be/hyl5bJzA_1Y
46,T. Kulokoski,How well can Machine Learning teach Humans about Machine Learning?,Aalto,completed,Mar. 2024,,https://urn.fi/URN:NBN:fi:aalto-202403172727,https://youtu.be/EcJCq9cXDA4
47,S. Facchini,Prediction of fuel usage consumption in the airline industry,Aalto,completed,Mar. 2024,Finnair,https://urn.fi/URN:NBN:fi:aalto-202403172740,
48,L. Veneranta,Optimization of Web Page Advertisements using Contextual Bandits,Aalto,completed,Jan. 2024,Sanoma Media,https://urn.fi/URN:NBN:fi:aalto-202401282006,
49,J. Li,Empirical Emissions Modeling using Machine Learning,Aalto,completed,Jan. 2024,aurobay.com,https://urn.fi/URN:NBN:fi:aalto-202401281970,
50,K. Izadi Garmaseh,Frequency Offset Estimation Using Deep Learning,Aalto,completed,Jan. 2024,Nokia,https://urn.fi/URN:NBN:fi:aalto-202401282059,
51,S. Chowdhury,Computer vision-assisted safety alert system for industrial settings in private 5G networks,Aalto,completed,Jan. 2024,TietoEVRY Oyj,https://urn.fi/URN:NBN:fi:aalto-202401282114,
52,T. Kontola,Predicting User Web Behaviour with Machine Learning Methods,Aalto,completed,Jan. 2024,Columbia Road Oy,https://urn.fi/URN:NBN:fi:aalto-202401282008,
53,R. Siljander,Extreme gradient boosting methods for covariate forecasting of housing market demand in Finnish postal code areas,Aalto,completed,Dec. 2023,Alma Talent Oy,https://urn.fi/URN:NBN:fi:aalto-202312187385,
54,J. Jäkärä,From Candles to Ticks - Improving financial backtesting accuracy,Aalto,completed,Dec. 2023,Aekos Trading Oy,https://urn.fi/URN:NBN:fi:aalto-202312187389,
55,X. Landa Oregi,MLOps data ingestion pipeline for reciprocal benefit between customer and provider,Aalto,completed,Nov. 2023,Huawei,https://urn.fi/URN:NBN:fi:aalto-202401071333,
56,T. Brumani,Microservices-based autonomous anomaly detection for mobile network observability,Aalto,completed,Sept. 2023,Ericsson Oy,https://aaltodoc.aalto.fi/items/747916fb-98a1-4195-93a6-841cf0b6be71,https://youtu.be/nod42G_KHok
57,G. Rivi,Software Defined Networking Controlled Energy Optimization through Traffic Prediction on Microwave Access Network,Aalto,completed,Sept. 2023,Ericsson Finland,https://aaltodoc.aalto.fi/items/f3545faf-7aec-4453-b123-6be572a0ac80,https://youtu.be/jq5Xg8Hmn9s
58,Á. García Gutierrez,Anomaly Detection on Osmosis Trades,Aalto,completed,Sep. 2023,Numia Data,https://aaltodoc.aalto.fi/items/0c0526a5-b55e-432f-9d03-f265f0df63d1,
59,Z. Liu,Deep Learning based method for Fire Detection,Aalto,completed,Sept. 2023,Detectium,https://aaltodoc.aalto.fi/items/e721634e-004a-4a29-b018-1d41a17d33e8,
60,M. Bogdanova,Contextual bandits for staffing in consulting companies: An exploration of personalized decision making,Aalto,completed,Sept. 2023,,https://aaltodoc.aalto.fi/items/041f9210-3920-43fa-b4b7-dda5de9079f7,
61,Z. Zhou,Building information modeling connection recommendation based on machine learning using multimodal information,Aalto,completed,Aug. 2023,,https://aaltodoc.aalto.fi/items/38769eb0-f6f4-4392-9ca0-a4cfab7e031f,https://youtu.be/8lOAhhuWqr0
62,Y. Sarcheshmehpour,Application of Reinforcement Learning in Electrical Machine Design,Aalto,completed,Aug. 2023,ABB Oy,https://aaltodoc.aalto.fi/handle/123456789/122863,https://youtu.be/a6RJawYzyJM
63,L. Garcia Tejada,Applying Machine Learning to Forecast Formula 1 Race Outcomes,Aalto,completed,Aug. 2023,,https://aaltodoc.aalto.fi/handle/123456789/122937,https://youtu.be/q01GzbSDsSg
64,C. Segercrantz,Experimental evaluation of record linkage algorithms in a secure banking environment,Aalto,completed,Aug. 2023,Nordea Bank Oyj,https://aaltodoc.aalto.fi/handle/123456789/123205,
65,H. Wang,Material Capture and Generative Rendering with Phenomenological Reflectance Models,Aalto,completed,Aug. 2023,Huawei,https://aaltodoc.aalto.fi/handle/123456789/122900,
66,G. Jiang,Parallel Training of Neural Networks in 6G L1,Aalto,completed,Aug. 2023,Nokia Oy,https://aaltodoc.aalto.fi/handle/123456789/122835,
